,Reason for absence,Month,Day of the week,Seasons,Transportation expense,Distance to Work,Service time,Age,Work load,Education,Son,Social drinker,Social smoker,Weight,Height,Body mass index,Absenteeism time in hours
0,26,7,3,1,289,36,,33,239.554,1,2,1,0,90,172,30,4
1,0,7,3,1,118,13,,50,239.554,1,1,1,0,98,178,31,0
2,23,7,4,1,179,51,,38,239.554,1,0,1,0,89,170,31,2
3,7,7,5,1,279,5,14,39,239.554,1,2,1,1,68,168,24,4
4,23,7,5,1,289,36,,33,239.554,1,2,1,0,90,172,30,2
5,23,7,6,1,179,51,,38,239.554,1,0,1,0,89,170,31,2
6,22,7,6,1,361,52,,28,239.554,1,1,1,0,80,172,27,8
7,23,7,6,1,260,50,,36,239.554,1,4,1,0,65,168,23,4
8,19,7,2,1,155,12,14,34,239.554,1,2,1,0,95,196,25,40
9,22,7,2,1,235,11,14,37,239.554,3,1,0,0,88,172,29,8
10,1,7,2,1,260,50,,36,239.554,1,4,1,0,65,168,23,8
11,1,7,3,1,260,50,,36,239.554,1,4,1,0,65,168,23,8
12,11,7,4,1,260,50,,36,239.554,1,4,1,0,65,168,23,8
13,11,7,4,1,179,51,,38,239.554,1,0,1,0,89,170,31,1
14,18,8,2,1,179,51,,38,205.917,1,0,1,0,89,170,31,8
15,18,8,5,1,235,29,12,48,205.917,1,1,0,1,88,163,33,8
16,23,8,5,1,235,11,14,37,205.917,3,1,0,0,88,172,29,4
17,18,8,2,1,235,29,12,48,205.917,1,1,0,1,88,163,33,8
18,23,8,2,1,179,51,,38,205.917,1,0,1,0,89,170,31,2
19,23,8,2,1,361,52,,28,205.917,1,1,1,0,80,172,27,1
20,24,8,3,1,289,36,,33,205.917,1,2,1,0,90,172,30,8
21,11,8,5,1,291,50,12,32,205.917,1,0,1,0,65,169,23,4
22,28,8,6,1,235,29,12,48,205.917,1,1,0,1,88,163,33,8
23,23,8,6,1,260,50,,36,205.917,1,4,1,0,65,168,23,4
24,23,9,3,1,184,42,,27,,1,0,0,0,58,167,21,2
25,23,9,2,1,118,10,10,37,,1,0,0,0,83,172,28,4
26,23,9,3,1,179,51,,38,,1,0,1,0,89,170,31,4
27,19,9,3,1,235,20,,43,,1,1,1,0,106,167,38,8
28,23,9,4,1,155,12,14,34,,1,2,1,0,95,196,25,2
29,23,9,2,1,118,10,10,37,,1,0,0,0,83,172,28,3
30,23,9,3,1,179,51,,38,,1,0,1,0,89,170,31,3
31,23,9,5,1,291,31,12,40,,1,1,1,0,73,171,25,4
32,22,9,6,1,260,50,,36,,1,4,1,0,65,168,23,8
33,14,9,2,4,291,31,12,40,,1,1,1,0,73,171,25,32
34,0,9,2,4,260,50,,36,,1,4,1,0,65,168,23,0
35,0,9,2,4,225,26,,28,,1,1,0,0,69,169,24,0
36,23,9,3,4,225,26,,28,,1,1,0,0,69,169,24,2
37,23,9,3,4,118,10,10,37,,1,0,0,0,83,172,28,2
38,0,9,3,4,289,36,,33,,1,2,1,0,90,172,30,0
39,0,9,3,4,118,13,,50,,1,1,1,0,98,178,31,0
40,18,9,4,4,225,26,,28,,1,1,0,0,69,169,24,3
41,23,9,4,4,179,51,,38,,1,0,1,0,89,170,31,3
42,0,9,4,4,369,17,12,31,,1,3,1,0,70,169,25,0
43,23,9,6,4,248,25,14,47,,1,2,0,0,86,165,32,1
44,23,9,6,4,179,51,,38,,1,0,1,0,89,170,31,3
45,23,9,6,4,260,50,,36,,1,4,1,0,65,168,23,4
46,23,10,3,4,179,51,,38,253.465,1,0,1,0,89,170,31,3
47,23,10,3,4,118,10,10,37,253.465,1,0,0,0,83,172,28,3
48,0,10,4,4,118,13,,50,253.465,1,1,1,0,98,178,31,0
49,23,10,5,4,179,26,,30,253.465,3,0,0,0,56,171,19,1
50,23,10,6,4,179,51,,38,253.465,1,0,1,0,89,170,31,3
51,23,10,6,4,225,26,,28,253.465,1,1,0,0,69,169,24,3
52,19,10,5,4,260,50,,36,253.465,1,4,1,0,65,168,23,16
53,14,10,3,4,291,31,12,40,253.465,1,1,1,0,73,171,25,8
54,28,10,3,4,225,26,,28,253.465,1,1,0,0,69,169,24,2
55,26,10,4,4,289,36,,33,253.465,1,2,1,0,90,172,30,8
56,23,10,6,4,361,52,,28,253.465,1,1,1,0,80,172,27,1
57,28,10,6,4,260,50,,36,253.465,1,4,1,0,65,168,23,3
58,23,11,5,4,179,51,,38,306.345,1,0,1,0,89,170,31,1
59,23,11,4,4,225,26,,28,306.345,1,1,0,0,69,169,24,1
60,13,11,5,4,179,51,,38,306.345,1,0,1,0,89,170,31,8
61,28,11,6,4,260,50,,36,306.345,1,4,1,0,65,168,23,4
62,22,12,4,4,361,52,,28,261.306,1,1,1,0,80,172,27,8
63,27,12,6,4,118,10,10,37,261.306,1,0,0,0,83,172,28,2
64,19,12,6,2,246,25,16,41,261.306,1,0,1,0,67,170,23,8
65,23,12,6,2,225,26,,28,261.306,1,1,0,0,69,169,24,2
66,23,1,4,2,225,26,,28,308.593,1,1,0,0,69,169,24,1
67,19,1,2,2,118,10,10,37,308.593,1,0,0,0,83,172,28,1
68,27,1,3,2,118,10,10,37,308.593,1,0,0,0,83,172,28,1
69,18,1,3,2,155,12,14,34,308.593,1,2,1,0,95,196,25,8
70,27,1,4,2,225,26,,28,308.593,1,1,0,0,69,169,24,2
71,23,1,5,2,184,42,,27,308.593,1,0,0,0,58,167,21,2
72,28,1,5,2,225,26,,28,308.593,1,1,0,0,69,169,24,2
73,1,2,4,2,246,25,16,41,302.585,1,0,1,0,67,170,23,8
74,11,2,4,2,179,51,,38,302.585,1,0,1,0,89,170,31,8
75,28,2,5,2,155,12,14,34,302.585,1,2,1,0,95,196,25,2
76,23,2,5,2,189,29,,33,302.585,1,2,0,0,69,167,25,8
77,28,2,6,2,260,50,,36,302.585,1,4,1,0,65,168,23,2
78,22,2,6,2,289,36,,33,302.585,1,2,1,0,90,172,30,8
79,11,2,2,2,388,15,,50,302.585,1,0,0,0,76,178,24,8
80,1,2,3,2,388,15,,50,302.585,1,0,0,0,76,178,24,8
81,28,2,2,2,225,26,,28,302.585,1,1,0,0,69,169,24,2
82,23,2,3,2,225,26,,28,302.585,1,1,0,0,69,169,24,2
83,23,2,3,2,179,26,,30,302.585,3,0,0,0,56,171,19,1
84,23,2,3,2,184,42,,27,302.585,1,0,0,0,58,167,21,8
85,25,2,5,2,225,26,,28,302.585,1,1,0,0,69,169,24,3
86,18,2,2,2,330,16,4,28,302.585,2,0,0,0,84,182,25,8
87,23,2,3,2,330,16,4,28,302.585,2,0,0,0,84,182,25,1
88,23,2,4,2,225,26,,28,302.585,1,1,0,0,69,169,24,1
89,19,2,5,2,189,29,,33,302.585,1,2,0,0,69,167,25,8
90,28,3,3,2,291,50,12,32,343.253,1,0,1,0,65,169,23,2
91,19,3,3,2,260,50,,36,343.253,1,4,1,0,65,168,23,8
92,19,3,3,2,157,27,,29,343.253,1,0,1,1,75,185,22,3
93,17,3,3,2,179,22,17,40,343.253,2,2,0,1,63,170,22,8
94,22,3,4,2,291,31,12,40,343.253,1,1,1,0,73,171,25,8
95,13,3,4,2,260,50,,36,343.253,1,4,1,0,65,168,23,8
96,13,3,5,2,179,26,,30,343.253,3,0,0,0,56,171,19,8
97,14,3,6,2,248,25,14,47,343.253,1,2,0,0,86,165,32,3
98,13,3,6,2,260,50,,36,343.253,1,4,1,0,65,168,23,40
99,11,3,2,2,179,22,17,40,343.253,2,2,0,1,63,170,22,40
100,1,3,2,2,155,12,14,34,343.253,1,2,1,0,95,196,25,16
101,26,3,2,2,260,50,,36,343.253,1,4,1,0,65,168,23,16
102,13,3,3,2,155,12,14,34,343.253,1,2,1,0,95,196,25,8
103,6,3,5,2,289,36,,33,343.253,1,2,1,0,90,172,30,8
104,8,3,5,2,179,22,17,40,343.253,2,2,0,1,63,170,22,8
105,28,3,6,2,260,50,,36,343.253,1,4,1,0,65,168,23,4
106,23,3,6,2,225,26,,28,343.253,1,1,0,0,69,169,24,1
107,14,3,2,2,279,5,14,39,343.253,1,2,1,1,68,168,24,8
108,13,3,3,2,179,51,,38,343.253,1,0,1,0,89,170,31,24
109,23,3,4,2,225,26,,28,343.253,1,1,0,0,69,169,24,2
110,11,3,2,3,225,26,,28,343.253,1,1,0,0,69,169,24,8
111,13,3,2,3,179,26,,30,343.253,3,0,0,0,56,171,19,1
112,11,3,3,3,225,26,,28,343.253,1,1,0,0,69,169,24,8
113,11,3,4,3,225,26,,28,343.253,1,1,0,0,69,169,24,16
114,13,3,4,3,179,51,,38,343.253,1,0,1,0,89,170,31,3
115,14,3,5,3,279,5,14,39,343.253,1,2,1,1,68,168,24,16
116,28,3,6,3,225,26,,28,343.253,1,1,0,0,69,169,24,2
117,14,3,6,3,248,25,14,47,343.253,1,2,0,0,86,165,32,3
118,28,3,2,3,225,26,,28,343.253,1,1,0,0,69,169,24,1
119,28,4,4,3,291,31,12,40,326.452,1,1,1,0,73,171,25,1
120,23,4,4,3,225,26,,28,326.452,1,1,0,0,69,169,24,1
121,28,4,3,3,155,12,14,34,326.452,1,2,1,0,95,196,25,1
122,13,4,4,3,246,25,16,41,326.452,1,0,1,0,67,170,23,24
123,23,4,5,3,155,12,14,34,326.452,1,2,1,0,95,196,25,1
124,28,4,6,3,225,26,,28,326.452,1,1,0,0,69,169,24,2
125,28,4,6,3,260,50,,36,326.452,1,4,1,0,65,168,23,4
126,13,4,4,3,179,51,,38,326.452,1,0,1,0,89,170,31,24
127,23,4,5,3,118,13,,50,326.452,1,1,1,0,98,178,31,1
128,23,4,6,3,291,31,12,40,326.452,1,1,1,0,73,171,25,3
129,14,4,6,3,246,25,16,41,326.452,1,0,1,0,67,170,23,8
130,28,4,6,3,291,31,12,40,326.452,1,1,1,0,73,171,25,1
131,28,4,6,3,248,25,14,47,326.452,1,2,0,0,86,165,32,8
132,18,5,3,3,179,51,,38,378.884,1,0,1,0,89,170,31,8
133,19,5,3,3,225,26,,28,378.884,1,1,0,0,69,169,24,8
134,7,5,4,3,184,42,,27,378.884,1,0,0,0,58,167,21,4
135,28,5,2,3,155,12,14,34,378.884,1,2,1,0,95,196,25,2
136,12,5,3,3,179,51,,38,378.884,1,0,1,0,89,170,31,1
137,13,5,4,3,289,36,,33,378.884,1,2,1,0,90,172,30,24
138,0,5,4,3,279,5,14,39,378.884,1,2,1,1,68,168,24,0
139,0,5,4,3,330,16,4,28,378.884,2,0,0,0,84,182,25,0
140,0,5,4,3,378,49,,36,378.884,1,2,0,1,65,174,21,0
141,0,5,4,3,388,15,,50,378.884,1,0,0,0,76,178,24,0
142,11,5,3,3,179,51,,38,378.884,1,0,1,0,89,170,31,1
143,13,5,4,3,118,13,,50,378.884,1,1,1,0,98,178,31,24
144,22,5,6,3,361,52,,28,378.884,1,1,1,0,80,172,27,8
145,19,6,2,3,246,25,16,41,,1,0,1,0,67,170,23,8
146,22,6,2,3,361,52,,28,,1,1,1,0,80,172,27,8
147,10,6,3,3,246,25,16,41,,1,0,1,0,67,170,23,24
148,23,6,5,3,291,31,12,40,,1,1,1,0,73,171,25,4
149,10,6,6,3,246,25,16,41,,1,0,1,0,67,170,23,8
150,11,6,2,3,179,51,,38,,1,0,1,0,89,170,31,8
151,23,6,2,3,155,12,14,34,,1,2,1,0,95,196,25,4
152,10,6,2,3,246,25,16,41,,1,0,1,0,67,170,23,8
153,13,6,4,3,118,13,,50,,1,1,1,0,98,178,31,8
154,13,6,6,3,235,11,14,37,,3,1,0,0,88,172,29,16
